AtNum,Group,OxSt,Mult,CN,NZ,Rsd,V,S,G3,VCP,RCMTop,PartOmegaOxygen,RMin,RMax,RAverage
56,E2(Be),2,2,8,7,1.608164,17.42125,36.33323,0.08057458,32.24915,0.069829,0.785599,2.50028,2.93514,2.79296
56,E2(Be),2,2,8,7.48,1.61674,17.70147,36.71257,0.08051166,31.72604,0.046021,0.8023,2.60013,2.91809,2.78472
73,E5(V),5,2,6,5.37,1.224059,7.68239,23.41477,0.0836251,10.16392,0.011469,0.999987,1.88287,2.05529,1.97214
73,E5(V),5,2,6,5.45,1.20698,7.36527,22.73158,0.08388353,9.62477,0.022487,0.995517,1.8704,2.00293,1.94047
73,E5(V),5,2,6,5.57,1.199292,7.22542,22.45511,0.08359489,9.57372,0.024256,1,1.86027,1.9876,1.93165
73,E5(V),5,2,6,5.6,1.21277,7.47177,22.95376,0.08374854,9.85635,0.036869,0.998081,1.88212,2.0582,1.95266
82,E14(Ñ),2,4,4,6.6,1.652139,18.88983,38.35855,0.08656816,6.54414,0.381282,0.749169,2.31216,2.49487,2.40351
27,E9(Co),2,4,6,5.83,1.293022,9.05537,25.94196,0.08376309,11.73113,0.029933,0.977618,2.04917,2.11073,2.0772
27,E9(Co),2,4,6,5.79,1.300944,9.22283,26.36314,0.08425419,11.65398,0.034702,0.976635,2.05449,2.11647,2.08349
30,E12(Zn),2,4,6,5.88,1.29405,9.07699,25.93242,0.08378264,11.71472,0.026653,0.96871,2.03384,2.11492,2.07919
30,E12(Zn),2,4,6,5.75,1.303837,9.2845,26.47798,0.0845357,11.60425,0.033979,0.966151,2.02755,2.13644,2.08675
55,E1(Li),1,4,7,6.01,1.870179,27.39921,50.851,0.08241364,38.56036,0.12034,0.868876,2.97777,3.34859,3.11363
73,E5(V),5,4,6,4.92,1.241857,8.02238,24.48036,0.08564001,10.03001,0.032352,0.996787,1.84165,2.17429,1.99342
73,E5(V),5,4,6,5.17,1.226011,7.71919,23.65976,0.08468264,9.79926,0.030309,0.996544,1.8371,2.1091,1.96888
73,E5(V),5,4,6,5.03,1.232018,7.8332,23.99706,0.08499696,9.89309,0.014855,0.998186,1.84433,2.16479,1.9817
73,E5(V),5,4,6,5.44,1.212311,7.4633,22.97358,0.08368965,9.86383,0.022048,0.999922,1.85629,2.03814,1.9535
73,E5(V),5,4,6,4.91,1.237425,7.9368,24.28597,0.08549606,9.97917,0.024508,0.99636,1.82154,2.16024,1.9896
73,E5(V),5,4,6,5.04,1.23241,7.84069,24.01366,0.08490332,9.91572,0.00505,0.999152,1.84509,2.12831,1.98007
