RefCode;AtNum;Group;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen
LINSIN;63;Ln;3;2;9;7,53;1,405297;11,625;28,56245;0,0801558;29,02445;0,016166;0,99622
LINSOT;65;Ln;3;2;9;7,55;1,394398;11,35662;28,07571;0,08000498;28,41667;0,026179;0,996184
LINSOT;65;Ln;3;2;9;7,44;1,390152;11,25317;27,91142;0,08011928;28,12696;0,013939;0,989243
LINSUZ;68;Ln;3;2;9;7,47;1,374959;10,88824;27,27172;0,07997026;27,37517;0,023144;0,99149
LINSUZ;68;Ln;3;2;9;7,37;1,371091;10,79661;27,19191;0,08023376;27,11121;0,013338;0,991886
LINTAG;62;Ln;3;8;8;6,33;1,421746;12,03802;29,77151;0,0814498;24,48626;0,026252;0,986193
LINTEK;63;Ln;3;8;8;6,34;1,417036;11,91876;29,5648;0,08141929;24,23106;0,024299;0,985876
LINTIO;65;Ln;3;8;8;6,33;1,401848;11,53962;28,96044;0,08144667;23,47294;0,025435;0,987503
LINTOU;68;Ln;3;8;8;6,33;1,382323;11,06413;28,15403;0,08142936;22,50451;0,028544;0,9872
LINTUA;62;Ln;3;4;8;6,72;1,418613;11,9586;29,48225;0,0810678;25,2723;0,008548;0,996223
LINVAI;64;Ln;3;4;8;6,71;1,403496;11,58037;28,91484;0,08108824;24,50086;0,007329;0,998281
LINVEM;65;Ln;3;4;8;6,69;1,393873;11,3438;28,52707;0,08108327;24,02141;0,006532;0,996052
LINVIQ;66;Ln;3;4;8;6,7;1,387757;11,19513;28,30634;0,08106906;23,73479;0,005818;0,997895
LIQXIV;13;E13;3;2;6;5,78;1,18169;6,91193;21,81941;0,08390502;9,07819;0,04429;1
LIQXIV;13;E13;3;2;6;5,62;1,168528;6,68352;21,35059;0,08393128;8,73419;0,026762;0,998979
LIRMOR;11;E1;1;2;5;5,42;1,487381;13,78337;32,92314;0,08446606;9,6824;0,083252;0,772904
LIRMOR;11;E1;1;2;7;6,67;1,46784;13,24722;31,11089;0,0813454;20,99941;0,02615;0,829383
LIXJIO;48;E12;2;4;7;7,36;1,418592;11,95807;29,61607;0,08199645;19,75308;0,041447;0,881012
LIXJIO;48;E12;2;4;7;7,62;1,428826;12,21874;29,71542;0,08329374;17,33599;0,032841;0,849376
LIYKEJ01;27;E9;2;2;6;5,92;1,300902;9,22193;26,21588;0,08405967;11,84093;0;0,984878
LIYKEJ02;27;E9;2;2;6;5,92;1,299204;9,18588;26,13981;0,08405602;11,79603;0;0,984089
LIYKEJ03;27;E9;2;2;6;5,92;1,292958;9,05403;25,89012;0,08408127;11,61603;0;0,983978
LIYQES;57;Ln;3;32;8;6,53;1,375654;10,90475;28,0697;0,08220567;22,46251;0,047227;0,996191
LIYSUK;30;E12;2;2;4;4,67;1,356442;10,45424;29,00587;0,08784351;3,67686;0,073761;0,93448
LIYSUK;30;E12;2;2;6;5,83;1,303428;9,27577;26,27724;0,08346075;12,23675;0,011898;0,988641
LIYSUK;30;E12;2;2;6;5,85;1,303799;9,28369;26,35328;0,0835039;12,24136;0,012015;0,995308
LIYSUK;30;E12;2;2;4;4,58;1,371451;10,80512;30,05203;0,08893333;3,67116;0,068579;0,93482
LOBBIQ;24;E6;3;3;6;5,6;1,195004;7,14819;22,32366;0,08367734;9,44383;0,014161;1
LOBBUC;21;E3;3;3;6;5,36;1,307859;9,37069;26,71111;0,08351562;12,44009;0,000401;1
LOBQOL;40;E4;4;8;8;7,23;1,270718;8,59482;23,75575;0,08102913;18,18285;0,039376;1
LOBQOL;40;E4;4;4;8;7,76;1,273076;8,64274;23,89056;0,08167669;17,82207;0,038661;1
LOQGIK;29;E11;2;4;5;5,26;1,293446;9,06429;25,75452;0,085201;5,80093;0,023314;0,87268
LOQGIK;29;E11;2;4;5;5,3;1,298447;9,16983;25,99124;0,08534448;5,86385;0,030122;0,871429
MATLUP02;48;E12;2;4;8;6,4;1,414047;11,8435;29,6157;0,08158467;24,15581;0,035139;0,963415
MATLUP02;48;E12;2;4;7;6,09;1,458121;12,98581;32,79068;0,08542419;18,67247;0,045504;0,96922
MATLUP02;48;E12;2;4;7;6,66;1,404043;11,59391;29,19808;0,08176123;20,02024;0,017256;0,922626
MEQPEG02;30;E12;2;2;5;4,97;1,350702;10,32208;28,67958;0,0900009;6,83828;0,117383;0,892166
MEQPEG02;30;E12;2;2;4;4,35;1,387833;11,19697;31,11172;0,09190419;3,79252;0,10752;0,921923
MEQPEG02;30;E12;2;2;6;5,7;1,303032;9,26731;26,30421;0,08363587;12,25044;0,047428;0,979151
MEQPEG02;30;E12;2;2;6;5,63;1,298841;9,17819;25,94903;0,08344128;12,24528;0,043664;0,956196
MEQPEG02;30;E12;2;2;4;4,33;1,384945;11,1272;30,79982;0,0913823;3,76439;0,100423;0,920061
MEQPEG02;30;E12;2;2;5;4,32;1,396853;11,4167;31,19529;0,09217391;6,97083;0,101803;0,920214
MIHWAE;26;E8;2;18;5;4,45;1,707855;20,86612;51,52163;0,23873892;6,09247;1,461708;0,944277
MIHWEI;26;E8;3;18;7;5,42;1,284297;8,87329;25,23188;0,08395796;13,71394;0,079108;1
MIHWIM;26;E8;3;18;7;5,67;1,270303;8,58638;24,68462;0,08460186;13,22647;0,110347;0,996773
MIHWOS;26;E8;3;18;7;5,72;1,281812;8,82189;25,16081;0,08491821;13,38737;0,103193;0,996517
MIHXIN;26;E8;3;18;7;5,48;1,291618;9,02591;25,70658;0,0841058;13,69602;0,044831;0,999804
MIHXOT;26;E8;3;18;7;5,35;1,292839;9,05154;25,77652;0,08416903;13,69768;0,043385;0,99969
MIHXUZ;26;E8;3;18;7;5,44;1,289665;8,98503;25,62756;0,08409481;13,62168;0,046863;0,999845
MIJRIJ;26;E8;3;48;6;5,14;1,229733;7,78971;23,68573;0,08390003;10,23008;0,02808;1
MIJRIJ;26;E8;3;24;6;5,6;1,247012;8,12269;24,26025;0,08346058;10,80056;0,021461;1
MINNEF;28;E10;2;2;6;5,68;1,277238;8,72779;25,12912;0,08361837;11,62753;0,020937;0,939232
MINNEF;28;E10;2;2;6;5,9;1,282211;8,83013;25,29773;0,08363381;11,58541;0,026884;0,962764
MINNEF;28;E10;2;2;6;5,6;1,276448;8,7116;25,07163;0,0835845;11,56892;0,020127;0,942994
MINNEF;28;E10;2;2;6;5,97;1,281416;8,81372;25,15691;0,08354924;11,60771;0,03686;0,943206
MIPGOK;29;E11;2;4;4;5,46;1,313996;9,50322;26,60772;0,08498412;0;0;0,96586
MIPGOK01;29;E11;2;4;4;5,51;1,308068;9,37517;26,34539;0,08470414;0;0;0,965777
MIPGOK02;29;E11;2;4;4;5,49;1,310287;9,42297;26,44199;0,08480506;0;0;0,965693
MIQSIR;30;E12;2;4;5;4,98;1,348045;10,26128;28,85777;0,08971903;7,08034;0,068446;0,919408
MIQSIR;30;E12;2;4;5;4,77;1,365352;10,66161;30,30711;0,09201238;6,93638;0,058314;0,962269
MIRGIG;64;Ln;3;4;8;6,23;1,398503;11,45721;29,05542;0,08167996;23,78826;0,04352;0,994387
MIRGIG;64;Ln;3;4;7;6,11;1,393153;11,32623;29,29821;0,08212234;19,4848;0,016551;0,998411
MITFED;92;An;6;2;7;4,6;1,30548;9,31964;26,00566;0,08420028;15,81833;0,014745;0,991666
MITFIH;92;An;6;2;7;4,58;1,302489;9,25574;26,00749;0,08428391;15,6547;0,0153;1
MITZOH;63;Ln;3;6;8;6,85;1,419159;11,97241;29,56243;0,08164982;23,97014;0,041762;1
MITZUN;65;Ln;3;6;8;6,89;1,421635;12,03518;29,63916;0,08155885;24,28745;0,042664;1
MIXHIN;45;E9;2;24;5;5,62;1,309819;9,41287;26,70994;0,08402947;6,26093;0,009587;0,867126
MIXHIN;45;E9;2;24;5;5,57;1,315675;9,53969;27,04228;0,08422487;6,38193;0,001501;0,872257
MNFORD07;25;E7;2;2;6;6,03;1,351927;10,3502;27,91874;0,08291081;13,97045;0;0,917283
MNFORD07;25;E7;2;2;6;6,02;1,349064;10,28458;28,13575;0,08327403;13,70776;0;0,983283
MODNUR;29;E11;2;2;5;5,35;1,283373;8,85417;25,62234;0,08508243;5,85751;0,02936;0,873862
MOFJAV;27;E9;2;6;6;5,48;1,290328;8,9989;25,83392;0,08340676;11,97085;0,019722;0,97633
MOGVOW;30;E12;2;18;6;5,34;1,24546;8,09241;24,38112;0,08535292;10,10389;0,055566;0,999852
MOGVOW01;30;E12;2;18;6;5,34;1,24546;8,09241;24,38112;0,08535292;10,10389;0,055566;0,999852
MOGVOW02;30;E12;2;18;6;5,33;1,24505;8,08443;24,36613;0,08533908;10,09782;0,054672;0,999852
MOGVOW03;30;E12;2;18;6;5,35;1,243874;8,06153;24,3205;0,0853679;10,05413;0,053332;0,999869
MOGVOW04;30;E12;2;18;6;5,35;1,243574;8,0557;24,31117;0,0853796;10,0439;0,053705;0,999884
MOGVOW05;30;E12;2;18;6;5,36;1,244341;8,07061;24,3372;0,08543747;10,03135;0,050492;0,999907
MOGVOW06;30;E12;2;18;6;5,36;1,244331;8,07041;24,33706;0,08543779;10,03084;0,050557;0,999907
MOGVOW07;30;E12;2;18;6;5,36;1,244331;8,07041;24,33706;0,08543779;10,03084;0,050557;0,999907
MOGVOW08;30;E12;2;18;6;5,36;1,244331;8,07041;24,33706;0,08543779;10,03084;0,050557;0,999907
MOGVOW09;30;E12;2;18;6;5,36;1,244331;8,07041;24,33706;0,08543779;10,03084;0,050557;0,999907
MOGVOW10;30;E12;2;18;6;5,36;1,244331;8,07041;24,33706;0,08543779;10,03084;0,050557;0,999907
MOGVOW11;30;E12;2;18;6;5,36;1,244331;8,07041;24,33706;0,08543779;10,03084;0,050557;0,999907
MOGVOW12;30;E12;2;18;6;5,36;1,244331;8,07041;24,33706;0,08543779;10,03084;0,050557;0,999907
MOGVOW13;30;E12;2;18;6;5,36;1,244331;8,07041;24,33706;0,08543779;10,03084;0,050557;0,999907
MOGVOW14;30;E12;2;18;6;5,35;1,249521;8,17183;24,52351;0,08544681;10,1532;0,053059;0,999493
MOGVOW15;30;E12;2;18;6;5,35;1,249521;8,17183;24,52351;0,08544681;10,1532;0,053059;0,999493
MOGVOW16;30;E12;2;18;6;5,35;1,249521;8,17183;24,52351;0,08544681;10,1532;0,053059;0,999493
MOGVOW17;30;E12;2;18;6;5,35;1,249223;8,16598;24,51319;0,08545118;10,14433;0,053074;0,99952
MOGVOW18;30;E12;2;18;6;5,36;1,253137;8,24299;24,63527;0,08543517;10,2569;0,059364;0,998764
MOGVOW19;30;E12;2;18;6;5,36;1,253137;8,24299;24,63527;0,08543517;10,2569;0,059364;0,998764
MOGVOW20;30;E12;2;18;6;5,36;1,253137;8,24299;24,63527;0,08543517;10,2569;0,059364;0,998764
MOGVOW21;30;E12;2;18;6;5,36;1,253137;8,24299;24,63527;0,08543517;10,2569;0,059364;0,998764
MOGVOW22;30;E12;2;18;6;5,36;1,253137;8,24299;24,63527;0,08543517;10,2569;0,059364;0,998764
MOGVOW23;30;E12;2;18;6;5,36;1,253082;8,24189;24,63311;0,08543426;10,25562;0,059246;0,998764
MOGVOW24;30;E12;2;18;6;5,36;1,253082;8,24189;24,63311;0,08543426;10,25562;0,059246;0,998764
MOGVOW25;30;E12;2;18;6;5,36;1,253082;8,24189;24,63311;0,08543426;10,25562;0,059246;0,998764
MOGVOW26;30;E12;2;18;6;5,36;1,253082;8,24189;24,63311;0,08543426;10,25562;0,059246;0,998764
MOGVOW27;30;E12;2;18;6;5,35;1,252818;8,23668;24,62531;0,08544741;10,24595;0,059648;0,998806
MOGVOW28;30;E12;2;18;6;5,35;1,252818;8,23668;24,62531;0,08544741;10,24595;0,059648;0,998806
MOGVOW29;30;E12;2;18;6;5,35;1,252817;8,23666;24,62527;0,0854474;10,24594;0,059648;0,998806
MOGVOW30;30;E12;2;18;6;5,35;1,252316;8,22678;24,60661;0,08543978;10,23457;0,058938;0,998843
MOGVOW31;30;E12;2;18;6;5,35;1,252316;8,22678;24,60661;0,08543978;10,23457;0,058938;0,998843
MOGVOW32;30;E12;2;18;6;5,35;1,252015;8,22086;24,59711;0,08544958;10,22492;0,059169;0,998889
MOGVOW33;30;E12;2;18;6;5,35;1,252008;8,22072;24,59694;0,0854522;10,22418;0,059174;0,998878
MOGVOW34;30;E12;2;18;6;5,35;1,251702;8,21469;24,58644;0,08545542;10,21525;0,059044;0,998918
MOGVOW35;30;E12;2;18;6;5,34;1,250608;8,19318;24,55369;0,08550387;10,17583;0,05951;0,999039
MOGVOW36;30;E12;2;18;6;5,36;1,248548;8,15275;24,47315;0,08550163;10,13486;0,062591;0,999104
MOGVOW37;30;E12;2;18;6;5,36;1,248239;8,14671;24,46243;0,08550459;10,12595;0,062445;0,999139
MOGVOW38;30;E12;2;18;6;5,35;1,247943;8,14091;24,45285;0,08550049;10,1203;0,061858;0,999139
MOGVOW39;30;E12;2;18;6;5,34;1,250276;8,18665;24,53426;0,08547443;10,19276;0,064587;0,998979
MOGVOW40;30;E12;2;18;6;5,34;1,250367;8,18845;24,53592;0,08545817;10,19936;0,063945;0,998962
MOGVOW41;30;E12;2;18;6;5,34;1,250367;8,18845;24,53592;0,08545817;10,19936;0,063945;0,998962
MOGVOW42;30;E12;2;18;6;5,34;1,250367;8,18843;24,53589;0,08545816;10,19934;0,063944;0,998962
MOGVOW43;30;E12;2;18;6;5,34;1,250367;8,18843;24,53589;0,08545816;10,19934;0,063944;0,998962
MOGVOW44;30;E12;2;18;6;5,34;1,250367;8,18843;24,53589;0,08545816;10,19934;0,063944;0,998962
MOGVOW45;30;E12;2;18;6;5,34;1,250367;8,18843;24,53589;0,08545816;10,19934;0,063944;0,998962
MOGVOW46;30;E12;2;18;6;5,35;1,247542;8,13306;24,43162;0,08551669;10,11792;0,066766;0,999038
MOGVOW47;30;E12;2;18;6;5,35;1,247542;8,13306;24,43162;0,08551669;10,11792;0,066766;0,999038
MOGVOW48;30;E12;2;18;6;5,35;1,247542;8,13306;24,43162;0,08551669;10,11792;0,066766;0,999038
MOGVOW49;30;E12;2;18;6;5,35;1,24755;8,13322;24,43165;0,08551592;10,1184;0,066677;0,999039
MOGVOW50;30;E12;2;18;6;5,36;1,24657;8,11407;24,39759;0,08552933;10,09133;0,066784;0,999117
MOGVOW51;30;E12;2;18;6;5,36;1,246569;8,11405;24,39756;0,08552932;10,09131;0,066784;0,999117
MOGVOW52;30;E12;2;18;6;5,36;1,246569;8,11405;24,39756;0,08552932;10,09131;0,066784;0,999117
MOHGEY;27;E9;2;18;5;4,44;1,640479;18,49272;47,51657;0,22526964;5,69654;1,324995;0,953537
MOHGOI;12;E2;2;18;5;4,57;1,680513;19,8799;49,73221;0,23213226;5,71504;1,419317;0,947794
MOHMEE;29;E11;2;18;4;5,19;1,341876;10,12105;28,06664;0,08974579;1,44055;0,11578;0,986
MOHMEE01;29;E11;2;18;4;5,18;1,342015;10,12419;28,074;0,08975012;1,44109;0,115932;0,986108
MOHMEE02;29;E11;2;18;4;5,19;1,341953;10,12281;28,07211;0,08975021;1,43955;0,1156;0,986125
MOHMEE03;29;E11;2;18;4;5,19;1,342163;10,12755;28,07884;0,08975274;1,43959;0,116164;0,985997
MOHMEE04;29;E11;2;18;4;5,19;1,341827;10,11994;28,06641;0,08975125;1,43539;0,115581;0,985996
MOHMEE05;29;E11;2;18;4;5,19;1,341827;10,11994;28,06641;0,08975125;1,43539;0,115581;0,985996
MOHMEE06;29;E11;2;18;4;5,19;1,341825;10,11991;28,0663;0,08975101;1,43539;0,115575;0,985987
MOHMEE07;29;E11;2;18;4;5,18;1,341752;10,11824;28,06589;0,0897668;1,43695;0,115628;0,986153
MOHMEE08;29;E11;2;18;4;5,19;1,342439;10,13381;28,08862;0,08972043;1,44193;0,115838;0,98608
MOHMEE09;29;E11;2;18;4;5,19;1,342439;10,13381;28,08862;0,08972043;1,44193;0,115838;0,98608
MOHMEE10;29;E11;2;18;4;5,19;1,342439;10,13381;28,08862;0,08972043;1,44193;0,115838;0,98608
MOHMEE11;29;E11;2;18;4;5,19;1,342439;10,13381;28,08862;0,08972043;1,44193;0,115838;0,98608
MOHMEE12;29;E11;2;18;4;5,19;1,342064;10,12531;28,07605;0,08974428;1,4357;0,115835;0,98607
MOHMEE13;29;E11;2;18;4;5,18;1,341782;10,11893;28,06293;0,08975097;1,43717;0,115832;0,98585
MOHMEE14;29;E11;2;18;4;5,18;1,341867;10,12085;28,06588;0,08973847;1,43174;0,115157;0,985829
MOHMEE15;29;E11;2;18;4;5,19;1,34194;10,1225;28,0674;0,08973374;1,43886;0,115611;0,985809
MOHMEE16;29;E11;2;18;4;5,19;1,341989;10,1236;28,07114;0,089739;1,4364;0,115725;0,985953
MOHMEE17;29;E11;2;18;4;5,19;1,341938;10,12245;28,06936;0,08974088;1,43594;0,115604;0,985949
MOHMEE18;29;E11;2;18;4;5,19;1,342357;10,13195;28,08496;0,08972397;1,44127;0,11512;0,985872
MOHMEE19;29;E11;2;18;4;5,19;1,342312;10,13092;28,08337;0,08972674;1,44135;0,115083;0,985877
MOHMEE20;29;E11;2;18;4;5,19;1,342312;10,13092;28,08337;0,08972674;1,44135;0,115083;0,985877
MOHMEE21;29;E11;2;18;4;5,19;1,34229;10,13042;28,08218;0,08972349;1,44082;0,114942;0,985886
MOHMEE22;29;E11;2;18;4;5,19;1,342262;10,12978;28,08065;0,08972814;1,44191;0,115406;0,985871
MOHMEE23;29;E11;2;18;4;5,19;1,342006;10,12399;28,07109;0,08973462;1,43974;0,115437;0,985916
MOHMEE24;29;E11;2;18;4;5,19;1,342006;10,12399;28,07109;0,08973462;1,43974;0,115437;0,985916
MOHMEE25;29;E11;2;18;4;5,16;1,342397;10,13286;28,09057;0,0897209;1,44963;0,114122;0,986253
MOHMEE26;29;E11;2;18;4;5,17;1,342619;10,13788;28,09886;0,08970875;1,44545;0,114409;0,986239
MOHMEE27;29;E11;2;18;4;5,18;1,342563;10,13661;28,10027;0,08974091;1,44658;0,115346;0,986551
MOHMEE28;29;E11;2;18;4;5,17;1,342452;10,13408;28,09173;0,08970998;1,44618;0,114291;0,986289
MOHMEE29;29;E11;2;18;4;5,17;1,342588;10,13718;28,09966;0,08971439;1,44491;0,114324;0,986505
MOHMEE30;29;E11;2;18;4;5,16;1,342754;10,14093;28,10325;0,08970505;1,44783;0,115076;0,986311
MOHMEE31;29;E11;2;18;4;5,16;1,342754;10,14093;28,10325;0,08970505;1,44783;0,115076;0,986311
MOHMEE32;29;E11;2;18;4;5,16;1,342754;10,14093;28,10325;0,08970505;1,44783;0,115076;0,986311
MOHMEE33;29;E11;2;18;4;5,17;1,342704;10,13981;28,10215;0,08970068;1,44416;0,114255;0,986351
MOHMEE34;29;E11;2;18;4;5,18;1,342363;10,13207;28,08835;0,08972452;1,44682;0,114832;0,986227
MOJPOT;29;E11;2;18;4;5,17;1,341538;10,11341;28,05871;0,08979004;1,42584;0,116241;0,985944
MOJPOT01;29;E11;2;18;4;5,16;1,341367;10,10954;28,05503;0,08981136;1,43246;0,115178;0,985917
MOJPOT02;29;E11;2;18;4;5,17;1,341452;10,11147;28,05706;0,0898125;1,42609;0,116387;0,98591
MOJPOT03;29;E11;2;18;4;5,17;1,341453;10,11148;28,05709;0,08981248;1,42609;0,116387;0,98591
MOJPOT04;29;E11;2;18;4;5,16;1,341276;10,10747;28,04919;0,0898044;1,43353;0,115617;0,985916
MOJPOT05;29;E11;2;18;4;5,17;1,341221;10,10623;28,04636;0,08980528;1,42828;0,115979;0,985907
MOJPOT06;29;E11;2;18;4;5,17;1,341645;10,11584;28,05725;0,08976406;1,43087;0,116298;0,985694
MOJPOT07;29;E11;2;18;4;5,15;1,34141;10,1105;28,05619;0,08981157;1,43837;0,115795;0,986053
MOJPOT08;29;E11;2;18;4;5,15;1,34141;10,1105;28,05619;0,08981157;1,43837;0,115795;0,986053
MOJPOT09;29;E11;2;18;4;5,15;1,34141;10,1105;28,05619;0,08981157;1,43837;0,115795;0,986053
MOJPOT10;29;E11;2;18;4;5,15;1,34141;10,1105;28,05619;0,08981157;1,43837;0,115795;0,986053
MOJPOT11;29;E11;2;18;4;5,15;1,34141;10,1105;28,05619;0,08981157;1,43837;0,115795;0,986053
MOJPOT12;29;E11;2;18;4;5,18;1,341119;10,10394;28,04066;0,08980941;1,43157;0,116914;0,985878
MOJPOT13;29;E11;2;18;4;5,15;1,34146;10,11165;28,0552;0,08979955;1,43881;0,115432;0,985792
MOJPOT14;29;E11;2;18;4;5,17;1,341676;10,11652;28,06337;0,08979054;1,42632;0,116;0,985873
MOJPOT15;29;E11;2;18;4;5,15;1,341562;10,11394;28,06339;0,08978896;1,44125;0,114029;0,98616
MOJPOT16;29;E11;2;18;4;5,17;1,341583;10,11443;28,05987;0,08978575;1,43309;0,115375;0,985872
MOJPOT17;29;E11;2;18;4;5,16;1,341235;10,10656;28,0523;0,08982145;1,433;0,115305;0,986166
MOJPOT18;29;E11;2;18;4;5,16;1,341235;10,10656;28,0523;0,08982145;1,433;0,115305;0,986166
MOJPOT19;29;E11;2;18;4;5,16;1,341235;10,10656;28,0523;0,08982145;1,433;0,115305;0,986166
MOJPOT20;29;E11;2;18;4;5,16;1,34147;10,11187;28,05487;0,08979061;1,43178;0,116043;0,985824
MOJPOT21;29;E11;2;18;4;5,16;1,341424;10,11084;28,05328;0,08979341;1,43186;0,116007;0,985828
MOJPOT22;29;E11;2;18;4;5,17;1,341441;10,11122;28,04988;0,08977178;1,4341;0,115831;0,985667
MOJPOT23;29;E11;2;18;4;5,17;1,341669;10,11637;28,0575;0,08975489;1,42988;0,115634;0,985625
MOJPOT24;29;E11;2;18;4;5,15;1,341629;10,11546;28,06463;0,08980147;1,4414;0,115757;0,986117
MOJPOT25;29;E11;2;18;4;5,15;1,341723;10,11759;28,06782;0,08979365;1,44394;0,115497;0,986123
MOJPOT26;29;E11;2;18;4;5,15;1,341723;10,11759;28,06782;0,08979365;1,44394;0,115497;0,986123
MOJPOT27;29;E11;2;18;4;5,17;1,341047;10,10231;28,039;0,08980009;1,43438;0,11605;0,985979
MOJPOT28;29;E11;2;18;4;5,15;1,341362;10,10942;28,05332;0,08979949;1,44486;0,115883;0,986162
MOJPOT29;29;E11;2;18;4;5,17;1,341581;10,11438;28,05758;0,08977744;1,43419;0,115877;0,985846
MOJPOT30;29;E11;2;18;4;5,17;1,341346;10,10906;28,05324;0,08981177;1,43286;0,116518;0,986072
MOJPOT31;29;E11;2;18;4;5,17;1,341295;10,10792;28,05153;0,08981375;1,4324;0,116399;0,986071
MOJPOT32;29;E11;2;18;4;5,17;1,341947;10,12266;28,0712;0,08975834;1,43623;0,115464;0,985864
MOJPOT33;29;E11;2;18;4;5,18;1,341163;10,10492;28,04387;0,08981069;1,43027;0,11667;0,985939
MOJPOT34;29;E11;2;18;4;5,18;1,341177;10,10525;28,045;0,08981307;1,43027;0,116713;0,985985
MOJPOT35;29;E11;2;18;4;5,17;1,341403;10,11035;28,0522;0,08979715;1,43527;0,115918;0,985829
MOJPOT36;29;E11;2;18;4;5,17;1,341338;10,10889;28,04886;0,08979486;1,43631;0,116431;0,985897
MOJPOT37;29;E11;2;18;4;5,17;1,341559;10,11389;28,0584;0,0897725;1,43415;0,115021;0,985957
MOJPOT38;29;E11;2;18;4;5,17;1,341556;10,11381;28,05837;0,0897719;1,4336;0,114946;0,985959
MOJPOT39;29;E11;2;18;4;5,17;1,341436;10,1111;28,05324;0,08977481;1,43221;0,115552;0,985961
MOJPOT40;29;E11;2;18;4;5,17;1,341436;10,1111;28,05324;0,08977481;1,43221;0,115552;0,985961
MOJPOT41;29;E11;2;18;4;5,17;1,341436;10,1111;28,05324;0,08977481;1,43221;0,115552;0,985961
MOJPOT42;29;E11;2;18;4;5,17;1,341771;10,11868;28,06241;0,08974595;1,43737;0,115022;0,985769
MOJPOT43;29;E11;2;18;4;5,17;1,341325;10,10859;28,04901;0,08978104;1,43569;0,11573;0,986009
MOJPOT44;29;E11;2;18;4;5,17;1,341326;10,10861;28,04904;0,08978102;1,43569;0,11573;0,986009
MOJPOT45;29;E11;2;18;4;5,17;1,341132;10,10422;28,04167;0,08979066;1,43223;0,115741;0,985931
MOJPOT46;29;E11;2;18;4;5,18;1,34157;10,11414;28,05782;0,08978553;1,43523;0,115832;0,985823
MOJPOT47;29;E11;2;18;4;5,18;1,341748;10,11816;28,06374;0,08977247;1,43745;0,11577;0,985826
MOJPOT48;29;E11;2;18;4;5,18;1,341718;10,11747;28,06051;0,08975403;1,43931;0,115511;0,985781
MOJPOT49;29;E11;2;18;4;5,17;1,341451;10,11145;28,05132;0,0897683;1,43712;0,115968;0,985854
MOJPOT50;29;E11;2;18;4;5,17;1,341451;10,11145;28,05132;0,0897683;1,43712;0,115968;0,985854
MOJPOT51;29;E11;2;18;4;5,17;1,341721;10,11755;28,05974;0,08974085;1,43773;0,115063;0,985817
MOJPOT52;29;E11;2;18;4;5,17;1,341721;10,11755;28,05974;0,08974085;1,43773;0,115063;0,985817
MOJPOT53;29;E11;2;18;4;5,17;1,341721;10,11755;28,05974;0,08974085;1,43773;0,115063;0,985817
MOJPOT54;29;E11;2;18;4;5,17;1,341634;10,11557;28,05758;0,08974962;1,4341;0,115203;0,985856
MOJPOT55;29;E11;2;18;4;5,17;1,341653;10,11602;28,06038;0,08975906;1,43476;0,115286;0,985975
MOJPOT56;29;E11;2;18;4;5,17;1,341653;10,11602;28,06038;0,08975906;1,43476;0,115286;0,985975
MOJPOT57;29;E11;2;18;4;5,16;1,341526;10,11314;28,05803;0,08978092;1,44004;0,115346;0,986078
MOJPOT58;29;E11;2;18;4;5,16;1,340876;10,09844;28,03943;0,08982148;1,44206;0,114926;0,986436
MOJPOT59;29;E11;2;18;4;5,18;1,341353;10,10922;28,04969;0,08977834;1,43641;0,115749;0,986021
MOJPOT60;29;E11;2;18;4;5,17;1,341648;10,11589;28,05789;0,08975703;1,43907;0,115365;0,985747
MOJPOT61;29;E11;2;18;4;5,16;1,341252;10,10694;28,05248;0,08980846;1,44543;0,11589;0,986542
MOJPOT62;29;E11;2;18;4;5,16;1,341469;10,11185;28,05986;0,08979488;1,44717;0,115305;0,986432
MOJPOT63;29;E11;2;18;4;5,17;1,341297;10,10795;28,04661;0,0897837;1,43825;0,115902;0,985891
MOJPOT64;29;E11;2;18;4;5,16;1,341632;10,11553;28,06195;0,08977887;1,44377;0,11575;0,986111
MOJPOT65;29;E11;2;18;4;5,16;1,341632;10,11553;28,06195;0,08977887;1,44377;0,11575;0,986111
MOJPOT66;29;E11;2;18;4;5,17;1,34184;10,12024;28,0702;0,08975257;1,44939;0,115151;0,986446
MOJPOT67;29;E11;2;18;4;5,17;1,341736;10,11788;28,06862;0,08977751;1,444;0,115403;0,986414
MOJPOT68;29;E11;2;18;4;5,17;1,341736;10,11788;28,06862;0,08977751;1,444;0,115403;0,986414
MOJPOT69;29;E11;2;18;4;5,17;1,341736;10,11788;28,06862;0,08977751;1,444;0,115403;0,986414
MOJPOT70;29;E11;2;18;4;5,16;1,342022;10,12436;28,08532;0,08978602;1,44501;0,115181;0,986729
MOJPOT71;29;E11;2;18;4;5,16;1,342022;10,12436;28,08532;0,08978602;1,44501;0,115181;0,986729
MOJPOT72;29;E11;2;18;4;5,16;1,342022;10,12436;28,08532;0,08978602;1,44501;0,115181;0,986729
MOJPOT73;29;E11;2;18;4;5,16;1,341379;10,10982;28,06111;0,08981242;1,44759;0,115554;0,986792
MOJPOT74;29;E11;2;18;4;5,18;1,341706;10,11721;28,07204;0,08980251;1,44298;0,116141;0,98675
MOJPOT75;29;E11;2;18;4;5,17;1,341584;10,11444;28,06614;0,08980297;1,44243;0,116073;0,986629
