RefCode;AtNum;Group;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen
YICGUP;64;Ln;3;4;8;6,55;1,412148;11,79584;29,52185;0,08157649;24,561;0,051799;0,999766
YIGKEH;29;E11;2;6;5;5,39;1,305687;9,32407;26,67838;0,08544076;6,20549;0,014774;0,907624
YIGKEH;29;E11;2;6;5;5,37;1,317101;9,57076;27,27071;0,08566467;6,29865;0,043928;0,907773
YIGLIM;29;E11;2;12;5;5,32;1,299798;9,19848;26,51288;0,08551693;6,14349;0,007374;0,902254
YIGLIM;29;E11;2;12;5;5,25;1,31635;9,55438;27,23512;0,08596256;6,45227;0,042616;0,903183
YIKMOX;22;E4;3;4;3;4,85;1,3481;10,26253;26,62632;0,08710524;0;0,023854;0,608594
YINDOR;65;Ln;3;12;8;7,26;1,381507;11,04453;28,09058;0,08391336;21,62715;0,127908;0,982503
YINDOR;65;Ln;3;6;8;7,08;1,43253;12,31402;30,99779;0,09050292;22,44209;0,23844;0,999932
YINDUX;69;Ln;3;12;8;7,58;1,34642;10,22423;26,56114;0,08247589;20,71666;0,098823;0,977613
YINDUX;69;Ln;3;6;8;7,23;1,351565;10,34187;27,16787;0,08404821;20,4763;0,103436;1
