AtNum;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen;Topology;CP composition
20;2;4;8;6,86;1,451653;12,81377;30,97526;0,08208962;43,26335;0,039964;0,970591;{13/33/22-472};O8
20;2;4;8;6,98;1,444536;12,62623;30,65538;0,08193336;35,29276;0,039869;0,963458;{12/30/20-448};O8
25;2;4;6;5,72;1,347873;10,25736;27,99507;0,08310721;21,68956;0,011536;0,956131;{12/30/20-449};O6
70;2;4;4;5,82;1,49241;13,92365;32,55024;0,0837754;51,1414;0,027003;0,664969;{14/36/24-294};O4
25;2;4;6;5,92;1,355218;10,42596;28,07561;0,08353329;26,99282;0,046735;0,939;{14/36/24-652};O6
25;2;2;6;6,02;1,342174;10,12779;27,50459;0,08305209;26,11541;0;0,924217;{14/36/24-37};O6
43;3;4;6;5,85;1,220575;7,61696;23,37659;0,08426085;9,69571;0,032529;1;{6/12/8-1};O6
82;2;4;8;7,29;1,592249;16,90913;36,44996;0,08368768;58,16025;0,232297;0,987794;{13/33/22-211};O8
82;2;4;8;7,29;1,586472;16,72577;36,1896;0,08369667;57,44873;0,231229;0,988;{13/33/22-211};O8
30;2;2;6;5,85;1,304763;9,30429;26,77352;0,08508466;16,11664;0;0,997067;{10/24/16-46};O6
30;2;4;5;5,15;1,354213;10,40279;28,14556;0,0863213;35,32536;0,058678;0,92487;{16/42/28-540};O5
30;2;4;5;5,13;1,355391;10,42996;28,28983;0,08634825;34,62843;0,052646;0,939221;{16/42/28-541};O5
30;2;2;6;5,84;1,303694;9,28145;26,72294;0,08505476;17,96253;0;0,996879;{12/30/20-34};O6
30;2;2;6;5,88;1,455399;12,91323;33,70529;0,08731364;41,82589;0;0,997505;{16/42/28-28};O6
30;2;4;7;6,1;1,443487;12,59873;31,32579;0,0838398;36,47024;0,034765;0,94672;{14/36/24-352};O7
30;2;1;6;6,02;1,300357;9,21036;26,29974;0,0844749;17,67872;0;0,965977;{12/30/20-32};O6
30;2;2;4;4,58;1,371687;10,8107;30,01391;0,08923597;30,58567;0,065335;0,942991;{15/39/26-480};O4
62;2;4;5;6,44;1,554546;15,73619;35,03487;0,08202168;62,75667;0,025758;0,737162;{16/42/28-542};O5
12;2;2;6;5,83;1,280095;8,78649;25,21851;0,08318926;21,78902;0;0,961497;{12/30/20-85};O6
12;2;2;6;6;1,278561;8,75493;24,90269;0,08291429;22,63787;0;0,927985;{14/36/24-99};O6
50;2;2;3;5,41;1,633944;18,27257;37,85096;0,09028876;76,38902;0,456146;0,507242;{20/54/36-241};O3
50;2;2;4;5,71;1,552153;15,66363;34,47374;0,08696921;58,94498;0,338024;0,615539;{14/36/24-653};O4
50;2;2;3;5,33;1,605309;17,32863;37,01507;0,08963856;62,22201;0,415011;0,498779;{18/48/32-391};O3
50;2;4;3;5,36;1,592323;16,9115;36,15116;0,08887738;66,24681;0,406106;0,501943;{17/45/30-377};O3
