AtNum,Group,NumGroup,OxSt,Mult,CN,NZ,Rsd,V,S,G3,VCP,RCMTop,HD_PartOmega,B_PartOmega,C_PartOmega,N_PartOmega,O_PartOmega,F_PartOmega,Me_PartOmega
28,E10(Ni),10,2,4,4,4.82,1.40812,11.69521,31.55038,0.09788534,0.26115,0.002338,0.01356,0,0,0.846652,0,0,0.139788
28,E10(Ni),10,2,4,4,4.86,1.387536,11.18977,30.55556,0.09581699,0.12626,0.020579,0.014177,0,0,0.831561,0,0,0.154262
29,E11(Cu),11,2,2,4,5.04,1.426668,12.16346,31.48307,0.08957779,0,0,0.050935,0,0,0.775662,0,0,0
29,E11(Cu),11,2,2,4,5.03,1.425708,12.13893,31.47738,0.08969968,0,0,0.048865,0,0,0.777576,0,0,0
29,E11(Cu),11,2,2,4,4.94,1.453189,12.8545,32.58898,0.09145126,0,0,0.070717,0,0,0.782778,0,0,0
29,E11(Cu),11,2,8,4,5.08,1.336029,9.98932,27.46689,0.08690401,3.11929,0.05831,0.22252,0,0.004334,0.773146,0,0,0
46,E10(Ni),10,2,2,4,5.43,1.426812,12.16714,30.80705,0.09038757,0,0,0.248735,0,0.021781,0.729484,0,0,0
28,E10(Ni),10,2,4,4,4.92,1.384864,11.12526,29.34151,0.09546448,0.38018,0.087095,0.232579,0,0.000152,0.724156,0.043113,0,0
27,E9(Co),9,2,4,4,4.7,1.36241,10.59283,29.68767,0.08888924,3.51614,0.07077,0.025889,0,0,0.558164,0.415948,0,0
27,E9(Co),9,2,4,10,9.12,1.381156,11.03613,30.39867,0.09280372,13.5837,0.020942,0.027647,0,0.972353,0,0,0,0
26,E8(Fe),8,2,4,4,4.69,1.381295,11.03946,30.17315,0.09684038,0.06105,0.032666,0.140445,0,0.032021,0.420655,0.406879,0,0
29,E11(Cu),11,2,8,4,5.22,1.342877,10.14372,27.97061,0.08773279,0.55988,0.077421,0.132847,0,0.000357,0.372115,0.493417,0,0.001264
29,E11(Cu),11,2,4,4,4.78,1.43681,12.42472,31.90183,0.09755022,1.42839,0.102519,0.158579,0,0.024131,0.413449,0.403841,0,0
25,E7(Mn),7,3,2,6,5.78,1.206062,7.34848,22.77124,0.08429313,9.47762,0.044973,0.000883,0,0.000401,0.491137,0.50758,0,0
28,E10(Ni),10,2,4,4,5,1.353481,10.38591,28.3085,0.09228904,0.44801,0.077305,0.123291,0,0.005959,0.401366,0.453427,0,0.015957
29,E11(Cu),11,2,4,4,4.73,1.451801,12.8177,33.13093,0.09700234,0.43893,0.018534,0.00772,0,0.012888,0.940654,0,0,0.038739
29,E11(Cu),11,2,4,4,4.91,1.431834,12.29608,31.57669,0.09740681,1.99183,0.066466,0.216416,0,0,0.783584,0,0,0
29,E11(Cu),11,2,4,4,5.08,1.403221,11.57354,29.87727,0.09282474,2.02262,0.050734,0.212874,0,0.012963,0.774163,0,0,0
29,E11(Cu),11,2,4,4,5,1.40123,11.52436,29.77571,0.09305651,1.94025,0.086961,0.217975,0,0.009875,0.772151,0,0,0
3,E1(Li),1,1,8,5,6.63,1.334151,9.94725,27.65579,0.08944757,3.68928,0.114194,0.30235,0,0.116678,0.416412,0,0,0.155744
3,E1(Li),1,1,8,5,6.82,1.338816,10.05196,27.44946,0.08851993,3.72666,0.108426,0.308762,0,0.109141,0.418206,0,0,0.154305
48,E12(Zn),12,2,4,6,6.2,1.463045,13.11783,31.68792,0.08321702,15.12014,0.03648,0.170141,0,0.001067,0.300771,0.528021,0,0
30,E12(Zn),12,2,4,4,4.34,1.441714,12.55239,34.34917,0.09386379,4.08288,0.078382,0.10449,0,0,0.89551,0,0,0
28,E10(Ni),10,2,4,6,5.85,1.287882,8.94781,25.37665,0.08342814,11.65456,0.01228,0.049122,0,0.003955,0.622569,0.324354,0,0
28,E10(Ni),10,2,4,6,5.87,1.287836,8.94685,25.47251,0.08329471,11.74416,0.005302,0.041337,0,0.002839,0.624862,0.330963,0,0
50,E14(C),14,2,4,4,5.6,1.564109,16.02837,34.93019,0.08871504,4.38592,0.374322,0.394121,0,0,0,0.605879,0,0
26,E8(Fe),8,2,18,5,4.45,1.707855,20.86612,51.52163,0.23873892,6.09247,1.461708,0,0,0.054342,0,0.944277,0,0.001381
92,E20(An),20,4,2,10,7.2,1.426067,12.14809,29.07317,0.08050437,35.99187,0.042229,0,0,0,0.462632,0.537368,0,0
92,E20(An),20,4,2,10,7.25,1.428122,12.2007,29.16949,0.08057184,36.1573,0.043939,0,0,0,0.460205,0.539795,0,0
28,E10(Ni),10,2,2,2,4.2,1.642402,18.55782,39.49529,0.09246345,0,0.025094,0.364407,0,0.635593,0,0,0,0
45,E9(Co),9,1,8,8,5.79,1.402721,11.56118,28.98908,0.08901152,10.29326,0.104174,0.138982,0,0.796926,0,0,0,0.064092
45,E9(Co),9,1,8,8,5.8,1.40098,11.51819,28.92487,0.08907955,10.2676,0.099714,0.137522,0,0.798386,0,0,0,0.064092
45,E9(Co),9,1,4,8,5.76,1.398752,11.46333,28.73581,0.08950593,10.15793,0.172687,0.124431,0,0.825065,0,0,0,0.050505
45,E9(Co),9,1,4,8,5.93,1.408494,11.70453,29.30182,0.09002564,10.65092,0.122951,0.13304,0,0.816456,0,0,0,0.050505
27,E9(Co),9,2,4,4,4.36,1.397849,11.44115,31.59205,0.09257116,3.74448,0.085169,0.119877,0,0.026019,0.397146,0.456958,0,0
76,E8(Fe),8,2,4,10,10.47,1.400978,11.51814,29.73354,0.09136437,12.83738,0.041066,0.103754,0,0.896158,0,0,0,0
26,E8(Fe),8,2,4,10,9.78,1.308367,9.38162,26.17452,0.09045259,12.24022,0.010041,0.052203,0,0.947797,0,0,0,0
29,E11(Cu),11,2,4,4,4.73,1.417536,11.93138,31.87466,0.09741105,2.40235,0.025114,0.166597,0,0,0.395329,0.438073,0,0
72,E4(Ti),4,4,4,4,5.3,1.410411,11.75236,29.98232,0.08677192,3.90291,0.006428,0.245673,0,0.001181,0.753146,0,0,0
81,E13(B),13,1,18,8,5.25,1.78205,23.70545,44.08391,0.08208505,14.2885,0.192098,0.42992,0,0.236432,0,0.333648,0,0
81,E13(B),13,1,4,8,5.74,1.740822,22.09792,42.27444,0.08188436,14.27531,0.194988,0.457311,0,0.233984,0,0.308705,0,0
29,E11(Cu),11,2,4,4,4.55,1.503405,14.23366,36.29146,0.10730593,0.54215,0.037442,0,0,0.081535,0.425981,0.492484,0,0
29,E11(Cu),11,2,4,4,4.54,1.489176,13.83334,35.79583,0.1062354,0.42112,0.057211,0,0,0.076891,0.425272,0.497836,0,0
28,E10(Ni),10,2,2,4,5.05,1.326576,9.77879,26.73042,0.09110069,0,0,0.219346,0,0,0.384914,0.39574,0,0
20,E2(Be),2,2,4,8,6.41,1.470973,13.33224,32.17848,0.08187071,27.27294,0.020443,0.001256,0,0,0,0.998744,0,0
20,E2(Be),2,2,4,8,6.47,1.457908,12.98012,31.5551,0.0818415,26.55394,0.022074,0.005418,0,0,0,0.994582,0,0
20,E2(Be),2,2,4,8,6.06,1.495559,14.01197,33.35265,0.08201862,28.27193,0.000995,0.002545,0,0,0,0.997455,0,0
20,E2(Be),2,2,4,8,6.55,1.471837,13.35573,32.07777,0.08168792,27.52338,0.021287,0.011511,0,0,0,0.988489,0,0
46,E10(Ni),10,2,4,4,5.14,1.466104,13.20026,32.70373,0.09414781,0.60655,0.058511,0.217073,0,0.017398,0.389098,0.376431,0,0
29,E11(Cu),11,2,2,2,4.27,1.563063,15.99624,35.72659,0.08877103,0,0.139925,0.239649,0,0.090097,0.503391,0.056269,0,0.110593
29,E11(Cu),11,2,2,3,4.22,1.566253,16.09437,36.95205,0.09029417,0,0.108166,0.264565,0,0,0.510664,0.014822,0,0.209949
29,E11(Cu),11,2,2,3,4.23,1.568311,16.15792,36.7787,0.08960986,0,0.094277,0.211287,0,0.009557,0.515996,0.056629,0,0.206531
29,E11(Cu),11,2,2,3,4.16,1.579103,16.49376,37.30107,0.09019577,0,0.099507,0.215477,0,0.012365,0.531252,0.042504,0,0.198402
29,E11(Cu),11,2,2,2,4.25,1.576995,16.4278,36.54987,0.08921362,0,0.120254,0.234529,0,0.081502,0.503586,0.068959,0,0.111425
29,E11(Cu),11,2,2,3,4.18,1.597255,17.06914,38.26619,0.09119165,0,0.062108,0.267224,0,0,0.516582,0.014458,0,0.201736
29,E11(Cu),11,2,2,2,4.29,1.561344,15.94352,35.67936,0.08887738,0,0.141081,0.246231,0,0.084653,0.50417,0.055079,0,0.109868
29,E11(Cu),11,2,2,3,4.25,1.570877,16.23734,37.13083,0.09022561,0,0.113177,0.260921,0,0,0.510146,0.016916,0,0.212017
29,E11(Cu),11,2,2,3,4.23,1.57603,16.39767,37.11878,0.08962634,0,0.085452,0.207408,0,0.01031,0.517163,0.05841,0,0.206709
29,E11(Cu),11,2,2,2,4.26,1.577708,16.45009,36.60824,0.08920246,0,0.116967,0.240461,0,0.079721,0.501908,0.064917,0,0.112993
29,E11(Cu),11,2,2,3,4.23,1.58962,16.82551,37.8269,0.09080993,0,0.101589,0.269156,0,0,0.51189,0.016044,0,0.20291
29,E11(Cu),11,2,2,3,4.2,1.576654,16.41715,37.11459,0.0898273,0,0.110451,0.221886,0,0.01303,0.521188,0.045368,0,0.198528
29,E11(Cu),11,2,6,4,4.75,1.420565,12.00803,30.93074,0.09544404,0.57791,0.120181,0.18886,0,0,0.351723,0.459417,0,0
29,E11(Cu),11,2,4,5,5.16,1.364964,10.65253,28.60364,0.09106224,6.41958,0.108529,0.136184,0,0,0.332079,0.531737,0,0
42,E6(Cr),6,6,4,6,4.49,1.222726,7.6573,23.90488,0.08664161,9.80762,0.051506,0.0031,0,0,0,0.9969,0,0
42,E6(Cr),6,6,4,6,4.41,1.227432,7.74607,24.18945,0.08685345,9.82317,0.04652,0.000533,0,0,0,0.999467,0,0
42,E6(Cr),6,6,4,6,4.49,1.223595,7.67364,23.96711,0.08645437,9.74708,0.039134,0.000986,0,0,0,0.999014,0,0
42,E6(Cr),6,6,4,6,4.39,1.218958,7.58674,23.71498,0.08611773,9.71906,0.031987,0.001259,0,0,0,0.998741,0,0
26,E8(Fe),8,2,4,10,9.63,1.294025,9.07647,26.09517,0.09105449,12.22922,0.044496,0.031656,0,0.968344,0,0,0,0
56,E2(Be),2,2,1,12,10.49,1.635586,18.32774,38.46733,0.08051554,49.31029,0,0.000004,0,0,0.427966,0.572029,0,0
56,E2(Be),2,2,2,9,9.01,1.589747,16.82954,35.81227,0.07991832,42.75489,0.083376,0.058969,0,0,0,0.941031,0,0
