RefCode;Element;Name;AtNum;Group;Period;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen;
159111;Ni;Ni1;28;E10;4;2;4;6;6,38;1,276227;8,70709;24,8741;0,08321905;11,55549;0,00;0,916339;
159112;Co;Co1;27;E9;4;2;4;6;6,3;1,301613;9,23706;25,87658;0,0833102;12,24482;0,00;0,910556;
159112;Na;Na1;11;E1;3;1;2;8;7,47;1,550195;15,60441;34,78947;0,08181904;28,64469;0,00;0,976216;
159113;Co;Co1;27;E9;4;2;4;6;6,33;1,297144;9,14224;25,69096;0,08327037;12,13121;0,00;0,912985;
159113;Na;Na1;11;E1;3;1;2;8;7,41;1,538606;15,25705;34,3207;0,08183532;27,96684;0,00;0,975275;
159114;Co;Co1;27;E9;4;2;4;6;6,2;1,300499;9,21336;25,87894;0,08331453;12,14329;0,00;0,922266;
159114;Na;Na1;11;E1;3;1;2;8;7,05;1,54193;15,35616;34,94373;0,08212684;27,88726;0,00;0,991166;
159115;Co;Co1;27;E9;4;2;4;6;5,93;1,307113;9,35467;26,23544;0,08357732;12,24737;0,00;0,933116;
159115;K;K1;19;E1;4;1;2;8;7,89;1,638353;18,4209;38,32688;0,08089495;33,99733;0,00;0,974932;
159370;V;V1;23;E5;4;5;4;6;4,2;1,187665;7,0173;22,49099;0,0860168;9,10847;0,05;0,999169;
159370;V;V3;23;E5;4;5;4;6;4,18;1,189884;7,05671;22,58728;0,08610099;9,13192;0,05;0,998881;
159370;V;V4;23;E5;4;5;4;6;4,3;1,187863;7,02081;22,50401;0,08621226;8,97902;0,04;0,99046;
159370;V;V5;23;E5;4;5;4;6;4,24;1,189447;7,04894;22,59875;0,08624814;9,04411;0,04;0,995082;
159370;V;V2;23;E5;4;5;4;6;4,58;1,18154;6,90929;22,09704;0,08546945;8,941;0,02;0,988947;
161608;Al;Al1;13;E13;3;3;2;6;5,94;1,184569;6,96258;21,21044;0,08272741;9,427;0,01;0,911101;
161609;Al;Al1;13;E13;3;3;2;6;6,01;1,183222;6,93884;21,15645;0,08268125;9,402;0,01;0,911386;
161610;Al;Al1;13;E13;3;3;2;6;5,97;1,180367;6,88874;21,0527;0,08266741;9,337;0,01;0,910875;
161611;Al;Al1;13;E13;3;3;2;6;6,06;1,177702;6,84218;20,95527;0,08263034;9,28;0,01;0,911699;
161612;Al;Al1;13;E13;3;3;2;6;6,01;1,174703;6,79005;20,84742;0,08264206;9,204;0,01;0,912092;
161613;Al;Al1;13;E13;3;3;2;6;5,96;1,172278;6,74808;20,76237;0,08263764;9,153;0,01;0,912631;
161614;Al;Al1;13;E13;3;3;2;6;6,09;1,170681;6,72055;20,69652;0,08259491;9,12;0,01;0,912764;
161615;Al;Al1;13;E13;3;3;2;6;6,14;1,168785;6,68794;20,62386;0,08256582;9,077;0,01;0,912472;
161616;Al;Al1;13;E13;3;3;2;6;6,12;1,167873;6,6723;20,58978;0,08254384;9,058;0,01;0,912138;
161617;Al;Al1;13;E13;3;3;2;6;6,16;1,167745;6,67011;20,589;0,08254934;9,057;0,01;0,913591;
161618;Al;Al1;13;E13;3;3;2;6;6,18;1,166981;6,65702;20,56042;0,08254481;9,039;0,01;0,91303;
161619;Al;Al1;13;E13;3;3;2;6;6,02;1,167732;6,66987;20,59165;0,0826206;9,047;0,01;0,911534;
161726;U;U1;92;An;7;6;4;7;4,59;1,293791;9,07154;25,56048;0,08382287;15,74401;0,01;0,999998;
161830;K;K1;19;E1;4;1;4;8;6,52;1,669084;19,47706;40,21188;0,08136202;37,06252;0,02;0,895444;
162018;Fe;Fe1;26;E8;4;3;9;6;6,44;1,240104;7,98845;23,45216;0,08273938;10,80385;0,00;0,931323;
162019;Fe;Fe1;26;E8;4;3;9;6;6,39;1,23878;7,9629;23,38746;0,08277201;10,76625;0,00;0,933306;
165288;Cu;Cu1;29;E11;4;2;2;6;5,34;1,317416;9,57761;27,02795;0,08533315;12,489;0,00;0,985549;
165288;Cu;Cu2;29;E11;4;2;4;6;5,17;1,306233;9,33578;26,51443;0,08602962;11,749;0,04;0,967477;
165288;Mo;Mo1;42;E6;5;6;4;4;4,07;1,295043;9,09791;29,28844;0,09729254;2,819;0,02;0,990998;
165594;Al;Al1;13;E13;3;3;12;6;5,42;1,190039;7,05948;22,13293;0,08425589;9,187;0,05;0,989183;
165961;Ni;Ni1;28;E10;4;3;4;6;5,04;1,22771;7,75132;22,66648;0,08489015;10,53747;0,04;0,864563;
165962;Na;Na1;11;E1;3;1;4;6;6,44;1,481242;13,61339;32,8084;0,08249946;18,51281;0,03;0,854699;
165962;Na;Na2;11;E1;3;1;4;6;6,22;1,478824;13,54685;32,95801;0,08276393;18,29753;0,02;0,880889;
165963;Na;Na1;11;E1;3;1;4;6;6,43;1,482875;13,65846;32,92019;0,08253404;18,55738;0,02;0,859836;
165963;Na;Na2;11;E1;3;1;4;6;6,3;1,478745;13,54467;32,95133;0,08274316;18,30376;0,02;0,880671;
165964;Na;Na1;11;E1;3;1;4;6;6,45;1,482831;13,65725;32,86116;0,08245104;18,61087;0,03;0,851644;
165964;Na;Na2;11;E1;3;1;4;6;6,24;1,481211;13,61255;33,07019;0,08279416;18,36746;0,03;0,88272;
166321;Pb;Pb1;82;E14;6;2;4;9;7,28;1,544993;15,44787;34,58254;0,08045636;37,96948;0,06;0,996849;
166321;Pb;Pb2;82;E14;6;2;6;6;6,61;1,582153;16,58952;35,86707;0,08198339;14,07917;0,19;0,776885;
166322;Pb;Pb1;82;E14;6;2;4;9;7,58;1,525234;14,86272;33,64497;0,08027649;36,5346;0,03;0,993607;
166322;Pb;Pb2;82;E14;6;2;6;8;6,82;1,563262;16,00236;34,96488;0,08164622;32,82858;0,17;0,771326;
166323;Pb;Pb1;82;E14;6;2;4;9;7,58;1,523786;14,82043;33,58105;0,08027639;36,43093;0,03;0,993603;
166323;Pb;Pb2;82;E14;6;2;6;8;6,8;1,561196;15,93901;34,88478;0,08174147;32,73542;0,18;0,770359;
166324;Pb;Pb1;82;E14;6;2;4;9;7,62;1,517145;14,6275;33,28271;0,08026063;35,95807;0,03;0,993189;
166324;Pb;Pb2;82;E14;6;2;6;8;7,02;1,555633;15,7692;34,58123;0,08139505;32,31053;0,16;0,764063;
166325;Pb;Pb1;82;E14;6;2;4;9;7,87;1,511068;14,45241;32,97296;0,08017248;35,54899;0,01;0,989924;
